Date,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE
11/18/2021,531.45,534.2,501.3,530.15,509.95,509.7,512.83,536.7,152.2,47197742,"24,204,392,115.00"
11/17/2021,520.25,536.7,520.25,519.05,528.4,530.15,531.42,536.7,152.2,48463415,"25,754,402,444.20"
11/16/2021,506.9,526.85,506.2,505.45,517.95,519.05,519.53,530,152.2,55897781,"29,040,717,629.40"
11/15/2021,506.25,514.9,504.5,507.05,504.65,505.45,509.41,530,152.2,18014977,"9,176,940,266.55"
11/12/2021,506.95,509.55,497.35,503.45,507.35,507.05,503.75,530,138.7,20731808,"10,443,601,228.35"
11/11/2021,510,519,501,510.75,504.5,503.45,508.46,530,138.7,29256213,"14,875,701,882.25"
11/10/2021,506.25,515.95,500.2,509.65,511,510.75,510.99,530,138.7,26615777,"13,600,481,542.90"
11/9/2021,505,520.65,503.5,501.4,511,509.65,513.35,530,138.7,50458762,"25,902,972,391.10"
11/8/2021,493.9,504.85,490.25,489.7,501,501.4,499.44,530,138.7,31736426,"15,850,376,263.15"
11/4/2021,489.8,493.55,488,484.9,490.05,489.7,490.51,530,131.1,5531940,"2,713,457,669.50"
11/3/2021,483.8,495,481.6,487.85,485.2,484.9,488.21,530,131.1,22950198,"11,204,555,640.25"
11/2/2021,506.5,510,486.5,485.7,488.05,487.85,494.31,530,131.1,51580720,"25,497,058,290.35"
11/1/2021,486.45,489.7,469.8,483.7,486.4,485.7,481.98,530,131.1,34315690,"16,539,532,647.70"
10/29/2021,482,491.6,467.7,481.05,484.45,483.7,483.64,530,130,31054342,"15,019,165,853.80"
10/28/2021,493.9,493.9,478.55,497.9,481.8,481.05,486.77,530,130,25182748,"12,258,182,942.70"
10/27/2021,505.75,506.55,496,508.65,496.8,497.9,501.37,530,130,30361263,"15,222,114,327.25"
10/26/2021,483.5,510,483.25,479.9,508.2,508.65,500.54,530,130,58027770,"29,044,966,108.20"
10/25/2021,493.9,496,473.25,490.9,478.8,479.9,480.93,530,130,33107841,"15,922,445,349.70"
10/22/2021,509.9,510.7,487.4,508,490.6,490.9,496.34,530,126.35,42742785,"21,214,749,436.80"
10/21/2021,491.75,510.4,485.75,486.9,508.95,508,497.29,530,126.35,52608672,"26,161,533,123.30"
10/20/2021,481.8,497,471.25,481.9,489.7,486.9,484.21,530,126.35,55444814,"26,847,160,147.10"
10/19/2021,512.45,517.4,476.05,509.6,484.75,481.9,498.07,530,126.35,57428637,"28,603,517,918.75"
10/18/2021,507,525,503.6,497.6,509.8,509.6,515.47,530,126.35,72322623,"37,280,104,214.00"
10/14/2021,530,530,492,506.9,496.6,497.6,502.86,530,126,103630901,"52,112,335,535.05"
10/13/2021,462.9,523.85,462.9,420.85,509.7,506.9,497.76,523.85,126,197949387,"98,531,750,923.15"
10/12/2021,423,435.7,413.6,415.75,421.25,420.85,424.35,435.7,126,97349265,"41,309,726,127.65"
